Point,Name,Transliteration,English,Pinyin,Korean 한글,Vietnamese
LU-1,中府,Zhongfu,Middle Assembly,zhōng fǔ,jung bu 중부,Trung phủ
LU-2,雲門,Yunmen,Cloud Gate,yún mén,un mun 운문,Vân môn
LU-3,天府,Tianfu,Upper Arm Assembly,tiān fǔ,cheon bu 천부,Thiên phủ
LU-4,俠白,Xiabai,Supporting the Lung,xiá bái,hyeop baek 협백,Hiệp bạch
LU-5,尺澤,Chize,Cubit Marsh,chǐ zé,cheok taek 척택,Xích trạch
LU-6,孔最,Kongzui,Collection Hole,kǒng zuì,gong choe 공최,Khổng tối
LU-7,列缺,Lieque,Interrupted Sequence,liè quē,yeol gyeol 열결,Liệt khuyết
LU-8,經渠,Jingqu,Channel Ditch,jīng qú,gyeong geo 경거,Kinh cừ
LU-9,太淵,Taiyuan,Great Deep Pool,tài yuān,tae yeon 태연,Thái uyên
LU-10,魚際,Yuji,Fish Border,yú jì,eo je 어제,Ngư tế
LU-11,少商,Shaoshang,Lesser Metal,shào shāng,so sang 소상,Thiếu thương
