Point,Name,Transliteration,Pinyin,English,Korean 한글,Romaji,Vietnamese,Alternative names
LR-1,大敦,Dadun,dà dūn,Great and Thick,dae don 대돈,tai ton,Đại đôn,
LR-2,行間,Xingjian,xíng jiān,Interval Pass,haeng gan 행간,kō kan,Hành gian,
LR-3,太沖,Taichong,taì chōng,Supreme Rush,tae chung 태충,tai shō,Thái xung,
LR-4,中封,Zhongfeng,zhōng fēng,Middle Margin,jung bong 중봉,chū hō,Trung phong,
LR-5,蠡溝,Ligou,lǐ gōu,Gnawed Channel,yeo gu 여구,rei kō,Lãi câu,
LR-6,中都,Zhongdu,zhōng dū,Central Capital,jung do 중도,chū to,Trung đô,
LR-7,膝關,Xiguan,xī guān,Knee Pass,seul gwan 슬관,shitsu kan,Tất quan,
LR-8,曲泉,Ququan,qū quán,Pool Spring,gok cheon 곡천,kyoku sen,Khúc tuyền,
LR-9,陰包,Yinbao,yīn bāo,Yin Wrapping,eum bo 음보,im pō?,Âm bao,
LR-10,足五里,Zuwuli,zú wǔ li,Foot Governor of Tears,[jok] o ri [족] 오리,ashi no go ri?,(Túc) Ngũ lý,
LR-11,陰廉,Yinlian,yīn lián,Yin Side,eum yeom 음염,in ren(?),Âm liêm,
LR-12,急脈,Jimai,jí mài,Swift Pulse,geum maek 금맥,kyū myaku?,Cấp mạch,
LR-13,章門,Zhangmen,zhāng mén,Gate of the Ordering,jang mun 장문,shō mon,Chương môn,
LR-14,期門,Qimen,qí mén,Cyclic Gate,gi mun 기문,ki mon,Kỳ môn,
